City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Port Hueneme,US,34.1478,-119.1951,63.1,65,0,12.66,clear sky
209,Egvekinot,RU,66.3167,-179.1667,-10.95,91,93,8.28,overcast clouds
210,Kavieng,PG,-2.5744,150.7967,81.0,75,100,1.19,light rain
211,Ushtobe,KZ,45.2514,77.9838,46.76,84,100,8.1,overcast clouds
212,Khomutovka,RU,51.9207,34.5619,22.44,84,13,6.69,few clouds
213,Pasighat,IN,28.0667,95.3333,65.48,78,98,4.47,overcast clouds
214,Dhanwar,IN,24.4167,85.9833,70.86,26,0,5.48,clear sky
215,Bom Jesus Da Lapa,BR,-13.255,-43.4181,89.94,30,85,4.81,overcast clouds
216,Grand Gaube,MU,-20.0064,57.6608,77.4,87,100,1.01,overcast clouds
217,Tecolutilla,MX,18.2833,-93.3167,85.1,60,6,7.02,clear sky
218,Ust-Ordynskiy,RU,52.805,104.7508,14.85,95,95,7.87,overcast clouds
219,Ambilobe,MG,-13.2,49.05,74.62,96,80,3.6,light rain
220,Carnarvon,AU,-24.8667,113.6333,76.75,71,0,20.45,clear sky
221,Puerto Maldonado,PE,-12.6,-69.1833,91.8,52,40,6.91,scattered clouds
222,Alugan,PH,12.2188,125.4808,76.98,84,13,10.31,few clouds
223,Dikson,RU,73.5069,80.5464,-15.16,96,100,11.56,overcast clouds
224,Klaksvik,FO,62.2266,-6.589,29.32,60,100,32.1,light snow
225,Udachnyy,RU,66.4167,112.4,-32.62,100,93,3.09,overcast clouds
226,Cabo San Lucas,MX,22.8909,-109.9124,80.06,38,0,8.05,clear sky
227,Matara,LK,5.9485,80.5353,73.96,91,11,9.08,few clouds
228,Siniscola,IT,40.5719,9.6922,51.35,82,32,6.98,scattered clouds
229,Kutum,SD,14.2,24.6667,74.5,20,14,9.93,few clouds
230,Olafsvik,IS,64.8945,-23.7142,26.58,58,88,11.23,overcast clouds
231,Ponta Delgada,PT,37.7333,-25.6667,61.52,94,75,18.41,broken clouds
232,Hambantota,LK,6.1241,81.1185,76.46,86,10,14.38,clear sky
233,Ilulissat,GL,69.2167,-51.1,26.62,68,0,0.0,clear sky
234,Padilla,CO,3.2204,-76.3139,83.77,75,92,2.51,overcast clouds
235,Mar Del Plata,AR,-38.0023,-57.5575,87.82,77,0,11.5,light rain
236,Brae,GB,60.3964,-1.353,34.0,54,96,20.31,overcast clouds
237,Constitucion,CL,-35.3333,-72.4167,65.59,73,41,9.71,scattered clouds
238,Lang Son,VN,21.8333,106.7333,64.6,59,100,2.3,overcast clouds
239,Ust-Kuyga,RU,70.0167,135.6,-11.07,100,100,0.6,overcast clouds
240,Lima,PE,-12.0432,-77.0282,79.05,61,0,13.8,clear sky
241,Starogard Gdanski,PL,53.964,18.5264,27.05,100,97,5.95,overcast clouds
242,Kilosa,TZ,-6.8333,36.9833,70.99,82,100,3.51,overcast clouds
243,Lasa,IT,46.6166,10.7002,41.68,93,98,2.64,overcast clouds
244,Vysha,RU,53.8477,42.3777,16.11,95,9,6.29,clear sky
245,Karbinci,MK,41.8167,22.2375,46.78,74,75,6.42,broken clouds
246,Ithaca,US,42.4406,-76.4966,42.58,61,0,8.05,clear sky
247,Saint-Joseph,RE,-21.3667,55.6167,78.48,86,95,8.55,overcast clouds
248,Makakilo City,US,21.3469,-158.0858,76.69,82,75,12.66,light intensity drizzle
249,Playa Vicente,MX,17.8333,-95.8167,96.17,33,28,5.64,scattered clouds
250,Gazli,UZ,40.1333,63.45,62.87,45,72,12.01,broken clouds
251,Hamilton,US,39.1834,-84.5333,75.15,39,0,20.71,clear sky
252,Mayo,US,38.8876,-76.5119,61.14,49,0,7.0,clear sky
253,Adeje,ES,28.1227,-16.726,63.7,86,20,4.61,few clouds
254,Sobolevo,RU,54.4299,31.8996,18.3,87,87,8.34,overcast clouds
255,Mehamn,NO,71.0357,27.8492,12.15,67,0,10.36,clear sky
256,Navolato,MX,24.7672,-107.6944,80.78,12,6,12.21,clear sky
257,Kocevje,SI,45.6433,14.8633,42.58,97,91,3.31,overcast clouds
258,Kazanka,UA,47.8462,32.8218,36.66,90,100,6.98,overcast clouds
259,Axim,GH,4.8699,-2.2405,80.19,84,52,10.56,light rain
260,Sola,VU,-13.8833,167.55,81.12,77,82,8.16,broken clouds
261,Hasaki,JP,35.7333,140.8333,39.6,78,0,6.71,clear sky
262,Vilyuysk,RU,63.7553,121.6247,-9.15,99,100,5.06,overcast clouds
263,Paracatu,BR,-17.2222,-46.8747,81.88,48,95,1.66,light rain
264,Fortuna,US,40.5982,-124.1573,44.94,95,75,10.36,broken clouds
265,Dhupgari,IN,26.5858,89.0145,66.74,36,0,2.21,clear sky
266,Takoradi,GH,4.8845,-1.7554,80.4,83,74,12.24,light rain
267,Sechura,PE,-5.5569,-80.8222,81.18,64,100,18.16,overcast clouds
268,Novikovo,RU,51.1537,37.8879,25.18,81,40,4.45,scattered clouds
269,Tura,IN,25.5198,90.2201,66.29,29,0,2.98,clear sky
270,Krasnoselkup,RU,65.7,82.4667,7.21,95,100,11.56,overcast clouds
271,Bocas Del Toro,PA,9.3333,-82.25,80.17,72,100,6.73,light rain
272,Taltal,CL,-25.4,-70.4833,73.38,71,11,6.2,few clouds
273,Pevek,RU,69.7008,170.3133,-32.39,97,32,3.76,scattered clouds
274,Pozo Colorado,PY,-23.4923,-58.7972,89.55,60,12,5.82,few clouds
275,Camacha,PT,33.0833,-16.3333,63.82,88,75,8.05,broken clouds
276,Cedar City,US,37.6775,-113.0619,39.4,56,75,19.57,broken clouds
277,Ponta Do Sol,PT,32.6667,-17.1,68.0,92,82,6.67,broken clouds
278,Kaili,ID,-3.4626,120.2147,64.89,91,100,3.69,overcast clouds
279,Taoudenni,ML,22.6783,-3.9836,82.33,10,97,8.97,overcast clouds
280,Sioux Lookout,CA,50.1001,-91.917,26.67,50,75,9.22,broken clouds
281,Bilibino,RU,68.0546,166.4372,-32.94,96,8,3.91,clear sky
282,Mareeba,AU,-17.0,145.4333,72.45,95,97,2.26,overcast clouds
283,Maputo,MZ,-25.9653,32.5892,78.48,79,75,3.44,broken clouds
284,Khani,GE,41.9563,42.9566,35.17,98,99,3.78,overcast clouds
285,Richards Bay,ZA,-28.783,32.0377,74.26,89,100,0.65,overcast clouds
286,Saint George,US,37.1041,-113.5841,52.95,39,100,5.01,overcast clouds
287,Aksarka,RU,66.5606,67.7975,-22.99,100,94,4.21,overcast clouds
288,Vad,RU,55.5301,44.2114,25.75,91,100,12.62,overcast clouds
289,Terrak,NO,65.087,12.3715,22.87,78,99,1.19,light snow
290,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,88,100,16.67,overcast clouds
291,Ossora,RU,59.2353,163.0719,7.9,87,100,6.64,overcast clouds
292,Cockburn Town,TC,21.4612,-71.1419,78.76,61,40,9.22,scattered clouds
293,Lianzhou,CN,24.7811,112.3825,64.33,51,69,2.26,broken clouds
294,Poum,NC,-20.2333,164.0167,79.47,75,7,13.27,clear sky
295,Cherskiy,RU,68.75,161.3,-37.19,98,29,3.09,scattered clouds
296,Creston,US,41.0586,-94.3614,44.33,81,100,16.11,overcast clouds
297,Hofn,IS,64.2539,-15.2082,22.53,58,56,20.29,broken clouds
298,Pochutla,MX,15.7432,-96.4661,89.82,46,2,9.69,clear sky
299,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,75,12.66,broken clouds
300,Pisco,PE,-13.7,-76.2167,84.25,54,0,21.85,clear sky
301,Martinsicuro,IT,42.8811,13.9145,52.95,56,15,5.97,few clouds
302,Ouadda,CF,8.0777,22.4007,84.94,27,67,6.26,broken clouds
303,Baiyin,CN,36.5583,104.2081,41.31,25,51,2.89,broken clouds
304,Fort Nelson,CA,58.8053,-122.7002,8.94,44,0,3.0,clear sky
305,Santa Fe,AR,-31.6333,-60.7,97.95,31,10,10.0,clear sky
306,Tartagal,AR,-22.5164,-63.8013,98.76,29,76,9.66,broken clouds
307,Cururupu,BR,-1.8283,-44.8683,77.07,93,100,4.56,overcast clouds
308,Karasjok,NO,69.4719,25.5112,-11.42,99,29,0.63,scattered clouds
309,Inuvik,CA,68.3499,-133.7218,-1.34,71,20,9.22,few clouds
310,San Patricio,US,28.017,-97.5169,89.69,52,89,13.27,overcast clouds
311,Sinnamary,GF,5.3833,-52.95,78.37,82,98,13.13,overcast clouds
312,San Pedro,PH,14.35,121.0167,72.63,80,20,0.0,few clouds
313,Katherine,AU,-14.4667,132.2667,73.72,94,100,5.75,overcast clouds
314,Thompson,CA,55.7435,-97.8558,-0.24,55,20,8.05,few clouds
315,Manokwari,ID,-0.8667,134.0833,76.91,82,100,4.38,overcast clouds
316,Talas,TR,38.6908,35.5538,38.07,75,75,0.0,broken clouds
317,Nouadhibou,MR,20.931,-17.0347,75.18,43,0,5.75,clear sky
318,Shingu,JP,33.7333,135.9833,44.87,60,0,6.49,clear sky
319,Awbari,LY,26.5921,12.7805,63.16,20,1,7.0,clear sky
320,Vanimo,PG,-2.6741,141.3028,76.1,88,100,3.38,light rain
321,Poltavka,RU,54.3663,71.7632,19.36,89,15,11.34,few clouds
322,Belyy Yar,RU,53.6039,91.3903,28.29,85,0,8.95,clear sky
323,Cap Malheureux,MU,-19.9842,57.6142,76.46,87,100,1.99,overcast clouds
324,Khatanga,RU,71.9667,102.5,-19.82,100,100,4.59,overcast clouds
325,Vestmanna,FO,62.1564,-7.1664,27.52,59,40,20.71,light snow
326,Shirokiy,RU,49.758,129.523,3.22,95,42,1.81,scattered clouds
327,Najran,SA,17.4924,44.1277,68.65,30,0,2.95,clear sky
328,La Ronge,CA,55.1001,-105.2842,1.65,35,20,1.14,few clouds
329,Dudinka,RU,69.4058,86.1778,-9.85,97,100,4.79,overcast clouds
330,Saldanha,ZA,-33.0117,17.9442,64.45,76,34,15.37,scattered clouds
331,Harsin,IR,34.2721,47.5861,50.81,57,100,10.31,light rain
332,Daru,PG,-9.0763,143.2092,75.74,90,63,10.29,broken clouds
333,Launceston,AU,-41.45,147.1667,55.8,82,40,16.11,scattered clouds
334,Ketchikan,US,55.3422,-131.6461,30.67,40,0,5.75,clear sky
335,Wilmington,US,34.2257,-77.9447,71.94,49,0,8.05,clear sky
336,Nuuk,GL,64.1835,-51.7216,39.81,56,20,3.44,few clouds
337,Gejiu,CN,23.306,103.1635,45.55,94,52,5.26,broken clouds
338,Shenjiamen,CN,29.9576,122.298,53.67,83,88,16.89,overcast clouds
339,Mantua,IT,45.1667,10.7833,49.15,84,31,1.95,scattered clouds
340,Ambovombe,MG,-25.1667,46.0833,73.71,94,98,14.99,light rain
341,Acqui Terme,IT,44.6751,8.4675,53.49,76,15,8.01,few clouds
342,Llangefni,GB,53.2556,-4.3106,43.74,84,75,6.91,broken clouds
343,Tukrah,LY,32.5341,20.5791,54.93,67,41,6.78,scattered clouds
344,Taga,RO,46.95,24.05,37.72,69,99,2.39,overcast clouds
345,Half Moon Bay,US,37.4636,-122.4286,56.61,62,0,12.66,haze
346,Ajdabiya,LY,30.7554,20.2263,58.15,59,0,4.61,clear sky
