City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,San Antonio,US,81.99,broken clouds,29.4241,-98.4936,Riverwalk Plaza Hotel and Suites
395,Varkkallai,IN,82.18,broken clouds,8.7341,76.7067,The Gateway Hotel
398,Tutoia,BR,80.13,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
406,Bangassou,CF,80.2,broken clouds,4.7413,22.8184,Hotel De Tourisme
410,Hilton Head Island,US,78.91,clear sky,32.2163,-80.7526,Marriott's Harbour Point and Sunset Pointe
414,Kuah,MY,78.78,few clouds,6.3265,99.8432,Langkawi Budget Inn
419,San Vicente,AR,84.25,scattered clouds,-26.6167,-54.1333,Los Lapachos
423,Natal,BR,83.05,few clouds,-5.795,-35.2094,Natal Palace Hotel
426,Owando,CG,73.9,light rain,-0.4819,15.8999,Hotel de l'Eglise
439,Antofagasta,CL,78.08,broken clouds,-23.65,-70.4,Hotel Colón
448,Meulaboh,ID,75.07,few clouds,4.1363,96.1285,Hotel Meuligou
454,Isiro,CD,75.63,overcast clouds,2.7739,27.616,Hôtel Magbetu
468,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Marry's Motel
473,Celestun,MX,83.66,scattered clouds,20.8667,-90.4,Hotel Flamingo Playa
475,Kota Tinggi,MY,77.04,broken clouds,1.7381,103.8999,Kota Heritage Hotel
476,Voh,NC,78.44,clear sky,-20.9667,164.7,Le Vook
481,Caravelas,BR,79.93,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
482,Mount Isa,AU,73.17,moderate rain,-20.7333,139.5,Ibis Styles
486,Tonantins,BR,81.93,moderate rain,-2.8731,-67.8022,Red Davi
488,Knoxville,US,77.25,clear sky,35.9606,-83.9207,Hilton Knoxville
490,Sibolga,ID,74.88,overcast clouds,1.7427,98.7792,Hotel Prima Indah
491,Loandjili,CG,78.66,overcast clouds,-4.7561,11.8578,Le Raphia Guest House
495,Pangkalanbuun,ID,72.25,overcast clouds,-2.6833,111.6167,Hotel Tiara
501,Kigali,RW,72.88,few clouds,-1.95,30.0588,Isimbi
523,Fort Stewart,US,84.29,scattered clouds,31.8722,-81.61,IHG Army Hotels Main Lodge
533,Kisangani,CD,76.53,broken clouds,0.5167,25.2,Le Chalet
536,Morgan City,US,83.01,few clouds,29.6994,-91.2068,Holiday Inn Express & Suites Morgan City - Tiger Island
537,Warud,IN,77.38,overcast clouds,21.4667,78.2667,"HREEKRUPA Restaurant, LODGING & BANQUET HALL "
539,Am Timan,TD,88.16,overcast clouds,11.0297,20.2827,Nimla
547,Safford,US,71.74,clear sky,32.834,-109.7076,Quality Inn And Suites
548,Rawson,AR,88.61,clear sky,-43.3002,-65.1023,Hotel Deportivo
552,Palm Coast,US,84.13,scattered clouds,29.585,-81.2078,Days Inn
553,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Hotel Hero
